product_id,product_name,product_class,first_observed_period,list_price,source_sales,source_quantity,product_category,launch_date,expected_price_band,margin_pct,incentive_eligible_flag,incentive_weight,expected_discount_pct,expected_return_rate,product_complexity_score,required_call_intensity,currency_code,attribute_reference_end_date,data_lineage
PROD_0976fe4fb8ed,Imiderm Vibranovate,Antipiretics,2017-01-01,390.0,18628350.0,47929.0,Antipiretics,2016-04-01,319.8–460.2,0.5797411446796024,True,1.15,0.08524586188964077,0.03501884497530351,3.198693597050975,2,UNK,2018-06-01,synthetic_derived
PROD_09f9e66361a4,Penitrana,Analgesics,2017-01-01,179.0,11721278.0,66482.0,Analgesics,2012-05-21,146.78–211.22,0.3951419504192616,True,1.15,0.09640331958360696,0.04855753962287694,2.3162994816050793,1,UNK,2018-06-01,synthetic_derived
PROD_0bc8ee097320,Raparidol,Mood Stabilizers,2017-01-01,187.0,10950159.0,59651.0,Mood Stabilizers,2014-11-22,153.34–220.66,0.32713756036233244,True,1.0,0.08946181586738411,0.021679366565180554,3.1935909441388723,2,UNK,2018-06-01,synthetic_derived
PROD_0bd7fc389f42,Lovepion,Antiseptics,2017-01-01,544.0,15929408.0,29364.0,Antiseptics,2014-04-21,446.08–641.92,0.3753354117448241,False,1.15,0.044781366646355555,0.049436009398414575,1.8872932086987113,1,UNK,2018-06-01,synthetic_derived
PROD_0c322a536138,Ganineva Agenium,Antiseptics,2017-01-01,390.0,14226420.0,36690.0,Antiseptics,2013-09-21,319.8–460.2,0.48114997479214133,True,1.0,0.06947019239006089,0.042282291601167296,1.0969174163503395,1,UNK,2018-06-01,synthetic_derived
PROD_0cdf2abc2ae2,Cephozumab Synmethate,Antibiotics,2017-01-01,768.0,48684288.0,65035.0,Antibiotics,2013-08-29,629.76–906.24,0.48211076891723836,True,1.15,0.048792956727486396,0.04554124190480276,4.765467605080987,3,UNK,2018-06-01,synthetic_derived
PROD_0da11e7d19ce,Lansostral Acgestin,Antiseptics,2017-01-01,627.0,34013496.0,55344.0,Antiseptics,2016-05-28,514.14–739.86,0.513057739725815,False,1.15,0.0513828303641202,0.03923524634778376,1.433232484755976,1,UNK,2018-06-01,synthetic_derived
PROD_0ecc0dfe06c8,Secrelazine Insonamic,Antipiretics,2017-01-01,694.0,28668446.0,41613.0,Antipiretics,2012-08-31,569.08–818.92,0.4380407350191564,True,1.0,0.0995555495383997,0.04777812179852856,1.5074349918468672,1,UNK,2018-06-01,synthetic_derived
PROD_0f93f3d0ca17,Adriafinil Ehtymara,Antiseptics,2017-01-01,535.0,33891180.0,63948.0,Antiseptics,2013-09-29,438.7–631.3,0.5947565525800111,True,1.15,0.07955167240536587,0.05467564654772889,1.586187306040562,1,UNK,2018-06-01,synthetic_derived
PROD_109864dec20a,Doxivorin,Antimalarial,2017-01-01,516.0,25738596.0,49885.0,Antimalarial,2012-01-30,423.12–608.88,0.6452615001388832,True,1.15,0.10296723306008845,0.027747654162658016,4.92510609597309,3,UNK,2018-06-01,synthetic_derived
PROD_11e4a6aa39a2,Topitaine,Mood Stabilizers,2017-01-01,517.0,25378496.0,49254.0,Mood Stabilizers,2014-06-03,423.94–610.06,0.37869002139178853,True,1.0,0.05835300293749956,0.04625403713434981,3.4706409606799844,2,UNK,2018-06-01,synthetic_derived
PROD_13c4a0748705,Antaparin Varizyme,Mood Stabilizers,2017-01-01,513.0,18223812.0,35764.0,Mood Stabilizers,2013-10-16,420.66–605.34,0.5746092870807553,True,1.35,0.06799500586831812,0.042995248697347575,3.4411598068154023,2,UNK,2018-06-01,synthetic_derived
PROD_1521f7bd9c93,Hemavate Spirolinum,Mood Stabilizers,2017-01-01,210.0,13871550.0,66867.0,Mood Stabilizers,2014-07-22,172.2–247.8,0.5511887410180178,True,1.15,0.06396923359331373,0.029284897788464846,4.946792806074118,3,UNK,2018-06-01,synthetic_derived
