visit_id,rep_id,customer_id,territory_id,period,visit_date,scheduled_start_time,actual_start_time,actual_end_time,visit_duration_minutes,visit_type,product_discussed,visit_outcome,check_in_latitude,check_in_longitude,check_out_latitude,check_out_longitude,estimated_travel_km,visit_completed_flag,impossible_travel_flag,overlapping_visit_flag,data_lineage
VIS_000000011,REP_0dfc420450a6,CUST_2150825f0243,TERR_07a5ea4d7ed4,2017-01-01,2017-01-03,2017-01-03 13:00:00,2017-01-03 12:59:00,2017-01-03 13:43:00,44,in-person,Effidomide Evofribrate,no immediate action,50.74591179974918,9.236373044916952,50.7457276679572,9.237828863870398,19.908294385262057,True,False,False,synthetic_normal
VIS_000000012,REP_0dfc420450a6,CUST_23ddcd3bfd76,TERR_07a5ea4d7ed4,2017-01-01,2017-01-03,2017-01-03 15:30:00,2017-01-03 15:39:00,2017-01-03 16:27:00,48,in-person,Pentastrin,follow-up requested,50.74825949449146,9.176306755489625,50.7507468846024,9.173678581253515,25.381187417414537,True,False,False,synthetic_normal
VIS_000000013,REP_0dfc420450a6,CUST_253cc1a0a403,TERR_07a5ea4d7ed4,2017-01-01,2017-01-04,2017-01-04 08:00:00,2017-01-04 07:58:00,2017-01-04 08:36:00,38,in-person,Abatatriptan,product interest,50.77292793348459,9.31376076880526,50.77227495983766,9.312382145709513,13.487533608078133,True,False,False,synthetic_normal
VIS_000000014,REP_0dfc420450a6,CUST_275360e832a3,TERR_07a5ea4d7ed4,2017-01-01,2017-01-04,2017-01-04 10:30:00,2017-01-04 10:27:00,2017-01-04 11:24:00,57,in-person,Belavarix Benzabicin,follow-up requested,50.72344784934793,9.049040779912309,50.72067450950728,9.050389097440487,30.0,True,False,False,synthetic_normal
VIS_000000015,REP_0dfc420450a6,CUST_279b9db55a14,TERR_07a5ea4d7ed4,2017-01-01,2017-01-04,2017-01-04 13:00:00,2017-01-04 13:04:00,2017-01-04 13:46:00,42,in-person,Amlominphen Dexanovate,follow-up requested,50.83661914676754,9.195173101577938,50.83977837088066,9.19556959294093,27.57706938393164,True,False,False,synthetic_normal
VIS_000000016,REP_0dfc420450a6,CUST_2919d7a5cf18,TERR_07a5ea4d7ed4,2017-01-01,2017-01-04,2017-01-04 15:30:00,2017-01-04 15:40:00,2017-01-04 16:30:00,50,in-person,Cortirodine Alimcline,routine coverage,50.65031997519426,9.092953587016037,50.65327890817898,9.091202093944172,28.206394500847434,True,False,False,synthetic_normal
VIS_000000017,REP_0dfc420450a6,CUST_29734987a1e7,TERR_07a5ea4d7ed4,2017-01-01,2017-01-05,2017-01-05 08:00:00,2017-01-05 08:07:00,2017-01-05 08:41:00,34,in-person,Quiniprosyn,routine coverage,50.93514878528045,8.949142318249194,50.934556088007824,8.949464758470844,30.0,True,False,False,synthetic_normal
VIS_000000018,REP_0dfc420450a6,CUST_318437b1f3ae,TERR_07a5ea4d7ed4,2017-01-01,2017-01-05,2017-01-05 10:30:00,2017-01-05 10:33:00,2017-01-05 11:11:00,38,in-person,Lovavatol Azelavarix,no immediate action,50.727819511383,9.157014662155976,50.72630678574022,9.161358439979777,25.73439717373366,True,False,False,synthetic_normal
VIS_000000019,REP_0dfc420450a6,CUST_3230d85f9fa2,TERR_07a5ea4d7ed4,2017-01-01,2017-01-05,2017-01-05 13:00:00,2017-01-05 13:09:00,2017-01-05 13:49:00,40,in-person,Adriafinil Ehtymara,routine coverage,50.82696091825385,9.05445443923456,50.82504514727365,9.056782226819395,30.0,True,False,False,synthetic_normal
VIS_000000020,REP_0dfc420450a6,CUST_374e0414345a,TERR_07a5ea4d7ed4,2017-01-01,2017-01-05,2017-01-05 15:30:00,2017-01-05 15:34:00,2017-01-05 16:18:00,44,in-person,Abobozolid,no immediate action,50.783810219888394,8.964921437663104,50.788606214855434,8.966582031876293,30.0,True,False,False,synthetic_normal
VIS_000000021,REP_0dfc420450a6,CUST_3ca43c71422e,TERR_07a5ea4d7ed4,2017-01-01,2017-01-06,2017-01-06 08:00:00,2017-01-06 08:02:00,2017-01-06 09:02:00,60,in-person,Symdocet,follow-up requested,50.83307803398566,9.239484973288072,50.83402091472434,9.239171341950703,21.293677926736404,True,False,False,synthetic_normal
VIS_000000022,REP_0dfc420450a6,CUST_3cbbbdd3f295,TERR_07a5ea4d7ed4,2017-01-01,2017-01-06,2017-01-06 10:30:00,2017-01-06 10:29:00,2017-01-06 11:31:00,62,in-person,Aquamycin Lacoran,product interest,50.62004082729743,9.39667610114078,50.61992088693115,9.392608746578825,30.0,True,False,False,synthetic_normal
VIS_000000023,REP_0dfc420450a6,CUST_3d5a6a81cd0e,TERR_07a5ea4d7ed4,2017-01-01,2017-01-06,2017-01-06 13:00:00,2017-01-06 12:56:00,2017-01-06 13:42:00,46,in-person,Alemtuvatol Megalinum,routine coverage,50.60199665385014,9.384332780774043,50.59880690300783,9.38539853962992,30.0,True,False,False,synthetic_normal
VIS_000000024,REP_0dfc420450a6,CUST_3dbbf1d8166a,TERR_07a5ea4d7ed4,2017-01-01,2017-01-06,2017-01-06 15:30:00,2017-01-06 15:31:00,2017-01-06 16:19:00,48,in-person,Afinitasol,follow-up requested,51.07336791227114,9.391463988011811,51.0697004424168,9.394978009663436,30.0,True,False,False,synthetic_normal
VIS_000000025,REP_0dfc420450a6,CUST_448dbc87503b,TERR_07a5ea4d7ed4,2017-01-01,2017-01-07,2017-01-07 08:00:00,2017-01-07 08:02:00,2017-01-07 08:54:00,52,in-person,Acantaine,product interest,50.75265190113511,9.508899784761837,50.75235999465544,9.509737961727202,30.0,True,False,False,synthetic_normal
