team,country,product_class,forecast_date,forecast_workload,planning_eligible,last_observed_month,coverage_note,current_active_reps,allocated_current_fte,capacity_per_rep,required_fte,fte_gap,additional_fte_need,current_capacity,utilization,required_fte_low,required_fte_high,forecast_uncertainty,confidence_note,raw_required_fte,cleaned_required_fte,cleaning_difference,cleaning_explanation,forecast_method,forecast_total_sales,forecast_distinct_customers,forecast_transaction_count,forecast_distinct_products,forecast_distinct_cities,forecast_distributor_count,demand_growth,customer_growth,hiring_priority,recommendation
Alfa,Germany,Antipiretics,2019-05-01,2.565687173006647,True,2019-04-01,Observed latest-month rep allocation,3.0,0.44221794970840533,7.481691189885916,0.34292877210369993,-0.0992891776047054,0.0,3.3085381383427896,0.7754745648154359,0.17693137818875637,0.46521926531551233,0.2659637869812607,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.34292877210369993,0.3533593326920021,0.010430560588302207,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,8863772.655152127,124.0278822836282,173.0,34.41540858638588,124.01286953121598,5.666666666666667,-0.15997954338964848,-0.013040724533462611,2.64210710796251,No modeled capacity pressure
Charlie,Germany,Antiseptics,2019-05-01,3.5618096507402384,True,2019-04-01,Observed latest-month rep allocation,3.0,0.6238605964526283,7.481691189885916,0.47607012376496527,-0.147790472687663,0.0,4.667532328196602,0.7631033703233969,0.22626361919678725,0.675356922053705,0.3238230660709814,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.47607012376496527,0.4863900662557614,0.010319942490796164,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,11521190.46301981,170.05913672075448,218.0,47.38996823584058,169.99387777383433,4.333333333333333,-0.1895345726844151,-0.026378988239955214,2.1748045728379957,No modeled capacity pressure
Bravo,Germany,Analgesics,2019-05-01,2.961901520340595,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5236442104992445,7.481691189885916,0.3958866311328949,-0.12775757936634957,0.0,3.917744276326964,0.7560221677147065,0.19604496441860958,0.5495783791850049,0.2954668939850373,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3958866311328949,0.40876406752643074,0.012877436393535856,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,13869774.615859367,141.2261685878972,192.0,41.11417953985644,141.12278006381786,5.333333333333333,-0.06078832385442978,0.003977501809695916,2.152944569204718,No modeled capacity pressure
Alfa,Germany,Mood Stabilizers,2019-05-01,3.182826522285218,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5610505221108548,7.481691189885916,0.42541538290004605,-0.13563513921080878,0.0,4.197606748357676,0.7582479048401823,0.256465262487731,0.5207490409397674,0.1423069131309953,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.42541538290004605,0.44854787512602584,0.02313249222597981,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,7474876.033209206,151.32581982775585,217.0,42.93171871150388,151.07540068398794,5.0,-0.11101746126924794,-0.04224164665977315,2.1065863108741425,No modeled capacity pressure
Alfa,Germany,Antiseptics,2019-05-01,3.506608475629501,True,2019-04-01,Observed latest-month rep allocation,3.0,0.6220185392073581,7.481691189885916,0.46869195568642164,-0.15332658352093642,0.0,4.653750624733398,0.7535015857946591,0.2746653721447461,0.585751897011407,0.16625554136265852,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.46869195568642164,0.48839774158572613,0.01970578589930451,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,7763371.007706759,164.13627798205565,201.0,48.19103285634717,163.88702214945693,6.0,-0.03128799709178698,-0.0132087496068799,1.9419916161231547,No modeled capacity pressure
Bravo,Germany,Mood Stabilizers,2019-05-01,3.1011543381095756,True,2019-04-01,Observed latest-month rep allocation,3.0,0.5518369313664222,7.481691189885916,0.4144991098138151,-0.1373378215526071,0.0,4.12867350765784,0.7511260777481126,0.21970039244640022,0.5534041290788165,0.24590896017508662,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.4144991098138151,0.4306961427973941,0.016197032983578954,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,8700719.803352477,148.63068810498714,200.0,42.38653887412023,148.47504499556146,5.0,-0.04488051986191677,-0.022166525625084588,1.7993620347710761,No modeled capacity pressure
Charlie,Germany,Antibiotics,2019-05-01,2.521952734781384,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4491418986889857,7.481691189885916,0.33708324371776693,-0.11205865497121875,0.0,3.360340986430017,0.7505050067733376,0.1622025913784078,0.4751462878127049,0.3153995601259193,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.33708324371776693,0.3577325090481216,0.02064926533035467,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,7421592.873785836,122.86906755770396,145.0,34.43497706713137,122.48335185770395,5.333333333333333,-0.21204525565280397,-0.042578694355553615,1.7446009703707828,No modeled capacity pressure
Bravo,Germany,Antimalarial,2019-05-01,2.609356146143603,True,2019-04-01,Observed latest-month rep allocation,3.0,0.4738075697362022,7.481691189885916,0.3487655504508188,-0.1250420192853834,0.0,3.544881920196601,0.7360911321973983,0.15722609329277273,0.5077708436177445,0.35863154965132166,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.3487655504508188,0.3546796178236243,0.005914067372805488,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,4722229.2132825395,126.97181155942312,172.0,34.22371927539632,126.97119716647472,5.333333333333333,-0.11533227603118212,-0.028276952351353635,1.232072907384091,No modeled capacity pressure
Delta,Germany,Antiseptics,2019-05-01,4.689475505342667,True,2019-04-01,Observed latest-month rep allocation,4.0,0.8841344392194779,7.481691189885916,0.6267935131674652,-0.25734092605201264,0.0,6.614820844583093,0.7089346205321494,0.3030381511616417,0.8813385290485578,0.3121569326139532,Scenario interval from validation absolute error and historical capacity quantiles; not a statistical confidence interval,0.6267935131674652,0.6449142264139536,0.018120713246488333,Workload winsorized to unit-specific TRAIN 5th/95th percentiles; capacity held fixed,exponential_smoothing,14483159.881033722,213.77083705264985,275.0,48.775378268160566,213.37415393951525,5.333333333333333,-0.11513625235897085,-0.02238946469824754,0.30890135989886575,No modeled capacity pressure
Alfa,Poland,Analgesics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Alfa,Poland,Antibiotics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Alfa,Poland,Antimalarial,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Alfa,Poland,Antipiretics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Alfa,Poland,Antiseptics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Alfa,Poland,Mood Stabilizers,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Analgesics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Antibiotics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Antimalarial,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Antipiretics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Antiseptics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Bravo,Poland,Mood Stabilizers,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Analgesics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Antibiotics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Antimalarial,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Antipiretics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Antiseptics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Charlie,Poland,Mood Stabilizers,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Analgesics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Antibiotics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Antimalarial,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Antipiretics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Antiseptics,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
Delta,Poland,Mood Stabilizers,2019-05-01,,False,2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient recent source coverage — validate data
