model,split,threshold,manager_review_fraction,metric_name,metric_value,review_fraction,review_count,positive_count,captured_count,risk_medium_threshold_pct,overload_threshold_pct,risk_critical_threshold_pct,precision,recall,overload_precision,overload_recall,true_positive,false_positive,false_negative,true_negative,ground_truth_overload_count,capacity_ground_truth_row_count,undercoverage_ground_truth_row_count,unmatched_overload_truth_row_count,predicted_overload_count,above_medium_threshold_count,above_high_threshold_count,above_critical_threshold_count,overloaded_rep_period_count,reps_above_medium_threshold,reps_above_high_threshold,reps_above_critical_threshold,overloaded_territory_count,territories_above_medium_threshold,territories_above_critical_threshold,overloaded_territory_period_count,territory_period_count,clean_row_count,injected_row_count,territory_count,mae_required_total_hours,workload_mae,workload_mae_observations,workload_mae_basis,mae_utilization_pct,utilization_mae,utilization_mae_observations,utilization_mae_basis,numeric_truth_independent_flag,numeric_mae_interpretation,clean_injected_required_hours_mae,clean_injected_utilization_pct_mae,territory_ranking_agreement,territory_rank_spearman,territory_ranking_basis,territory_allocation_sensitivity_spearman,territory_allocation_sensitivity_basis,territory_truth_independent_flag,territory_capacity_basis,low_risk_count,medium_risk_count,high_risk_count,critical_risk_count,total_required_fte,total_available_fte,total_fte_gap,positive_fte_gap_fte_months,fte_aggregate_basis,data_lineage
PCA Reconstruction,test,169.75496134126422,0.05,false_positives,9.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,false_negatives,17.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,true_negatives,25.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,predicted_anomalies,10.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,predicted_anomaly_pct,19.230769230769234,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,precision_at_1pct,1.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,recall_at_1pct,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,lift_at_1pct,2.888888888888889,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,precision_at_5pct,0.3333333333333333,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,recall_at_5pct,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,lift_at_5pct,0.9629629629629629,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,precision_at_10pct,0.16666666666666666,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,recall_at_10pct,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,lift_at_10pct,0.48148148148148145,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,169.75496134126422,0.05,top_decile_capture,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,precision,1.0,0.01,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,precision,0.3333333333333333,0.05,3.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,precision,0.16666666666666666,0.1,6.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,recall,0.05555555555555555,0.01,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,recall,0.05555555555555555,0.05,3.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,recall,0.05555555555555555,0.1,6.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,lift,2.888888888888889,0.01,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,lift,0.9629629629629629,0.05,3.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA Reconstruction,test,,,lift,0.48148148148148145,0.1,6.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deterministic capacity calendar,injected evaluation,,,,,,,,,85.0,100.0,120.0,0.4,1.0,0.4,1.0,40.0,60.0,0.0,264.0,40.0,41.0,1.0,0.0,100.0,186.0,100.0,21.0,100.0,13.0,13.0,7.0,8.0,8.0,8.0,79.0,176.0,364.0,364.0,8.0,0.0,0.0,39.0,ground_truth.injected_required_total_hours,0.0,0.0,39.0,ground_truth.injected_utilization_pct,False,Deterministic reconciliation to controlled injected values; not an independent predictive-accuracy estimate,4.832481661902908,4.120494972951609,,,not_available: no independently targeted territory-period truth,0.021044006462700174,allocation-sensitivity diagnostic at territory-period grain: utilization versus fractionally propagated rep-period truth; not independent territory truth,False,conserved rep-territory-period allocation aggregated to territory-period,178.0,86.0,79.0,21.0,224.3330684394685,250.5252784764632,-26.19221003699471,10.05615574165013,"sum across rep-periods (FTE-months), not a point-in-time headcount",synthetic_derived
