group_kind,grouping,value,observations,positive_support,overall_truth_support,selected_at_threshold,captured_at_threshold,false_positives_at_threshold,precision_at_threshold,recall_at_threshold,detection_rate_at_threshold,captured_at_top5pct,recall_at_top5pct,detection_rate_at_top5pct,support_status,evaluation_scope
ground_truth,anomaly_type,territory_potential_explained_performance,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,threshold_crossing_discount,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,unsupported_manual_override,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,unusual_return_rate,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,activity,4,4,4,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,customer,2,2,2,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,discount,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,expense,2,2,2,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,incentive,3,3,3,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,multi_signal,1,1,1,1,1,,,1.0,1.0,1.0,1.0,1.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,order_timing,3,3,4,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,product,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,quota,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,returns,2,2,2,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_category,territory,1,1,1,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,severity,high,5,5,5,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,severity,low,7,7,7,0,0,,,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,severity,medium,8,8,9,1,1,,,0.125,0.125,1.0,0.125,0.125,evaluated_on_final_test,commercial PCA final holdout
organization,manager_id,MGR_31981a685b7e,16,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,manager_id,MGR_4b97498897f6,12,5,5,3,1,2.0,0.3333333333333333,0.2,0.2,1.0,0.2,0.2,evaluated_on_final_test,commercial PCA final holdout
organization,manager_id,MGR_5e1c70ff0ce6,12,4,4,5,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,manager_id,MGR_eb86f856200b,12,3,3,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,team_id,TEAM_4f4a9410ffcd,16,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,team_id,TEAM_a405eba78bf2,12,4,4,5,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,team_id,TEAM_b9dd960c1753,12,5,5,3,1,2.0,0.3333333333333333,0.2,0.2,1.0,0.2,0.2,evaluated_on_final_test,commercial PCA final holdout
organization,team_id,TEAM_f144a6907dc4,12,3,3,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,territory_id,TERR_07a5ea4d7ed4,12,3,3,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,territory_id,TERR_49c0203db75f,16,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
organization,territory_id,TERR_938541fb7311,12,5,5,3,1,2.0,0.3333333333333333,0.2,0.2,1.0,0.2,0.2,evaluated_on_final_test,commercial PCA final holdout
organization,territory_id,TERR_b31415d90eb9,12,4,4,5,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated_on_final_test,commercial PCA final holdout
ground_truth,anomaly_type,territory_workload_exceeds_capacity,364,40,40,100,40,60.0,0.4,1.0,1.0,,,,evaluated_by_capacity_rule,deterministic capacity overload rule
ground_truth,anomaly_type,persistent_priority_undercoverage,364,3,1,20,3,17.0,0.15,1.0,1.0,,,,evaluated_by_capacity_rule,priority coverage gap above frozen clean 95th percentile (6.48125)
