check_name,status,value,detail,exists
fk__injected_orders_product,pass,0,product_id -> product_id,
fk__injected_orders_territory,pass,0,territory_id -> territory_id,
fk__injected_rep_manager,pass,0,manager_id -> manager_id,
fk__injected_rep_team,pass,0,team_id -> team_id,
fk__injected_rep_territory,pass,0,territory_id -> territory_id,
fk__injected_manager_team,pass,0,team_id -> team_id,
fk__injected_team_manager,pass,0,manager_id -> manager_id,
fk__injected_territory_team,pass,0,team_id -> team_id,
fk__injected_customer_territory,pass,0,territory_id -> territory_id,
fk__injected_customer_rep,pass,0,primary_rep_id -> rep_id,
fk__injected_target_rep,pass,0,rep_id -> rep_id,
fk__injected_discount_order,pass,0,order_line_id -> order_line_id,
fk__injected_discount_rep,pass,0,rep_id -> rep_id,
fk__injected_discount_approver,pass,0,approver_id -> manager_id,
fk__injected_return_order,pass,0,order_line_id -> order_line_id,
fk__injected_return_order_header,pass,0,order_id -> order_id,
fk__injected_return_rep,pass,0,rep_id -> rep_id,
fk__injected_return_customer,pass,0,customer_id -> customer_id,
fk__injected_return_product,pass,0,product_id -> product_id,
fk__injected_visit_rep,pass,0,rep_id -> rep_id,
fk__injected_visit_customer,pass,0,customer_id -> customer_id,
fk__injected_visit_territory,pass,0,territory_id -> territory_id,
fk__injected_crm_rep,pass,0,rep_id -> rep_id,
fk__injected_crm_customer,pass,0,customer_id -> customer_id,
fk__injected_crm_visit,pass,0,visit_id -> visit_id,
fk__injected_expense_visit,pass,0,visit_id -> visit_id,
fk__injected_expense_rep,pass,0,rep_id -> rep_id,
fk__injected_incentive_rep_id,pass,0,rep_id -> rep_id,
fk__injected_incentive_manager_id,pass,0,manager_id -> manager_id,
fk__injected_incentive_team_id,pass,0,team_id -> team_id,
fk__injected_incentive_territory_id,pass,0,territory_id -> territory_id,
fk__injected_incentive_policy_id,pass,0,policy_id -> policy_id,
fk__injected_incentive_policy_version,pass,0,policy_id+policy_version -> policy_id+policy_version,
fk__injected_capacity_rep,pass,0,rep_id -> rep_id,
fk__injected_capacity_manager_id,pass,0,manager_id -> manager_id,
fk__injected_capacity_team_id,pass,0,team_id -> team_id,
fk__injected_capacity_territory_id,pass,0,territory_id -> territory_id,
fk__injected_capacity_allocation_rep,pass,0,rep_id -> rep_id,
fk__injected_capacity_allocation_territory,pass,0,territory_id -> territory_id,
fk__injected_capacity_allocation_calendar,pass,0,rep_id+period -> rep_id+period,
fk__injected_capacity_summary_territory,pass,0,territory_id -> territory_id,
fk__injected_coverage_rep,pass,0,rep_id -> rep_id,
fk__injected_coverage_customer,pass,0,customer_id -> customer_id,
fk__injected_coverage_territory,pass,0,territory_id -> territory_id,
injected__order_discount_arithmetic,pass,"{'discount_max_error': 0.0, 'net_max_error': 0.0}",discount_amount=abs(gross_sales)*discount_pct and signed net sales reconcile,
injected__discount_detail_reconciliation,pass,"{'pct_max_error': 0.0, 'amount_max_error': 0.0}",Discount detail agrees with its order line,
injected__order_invoice_fulfillment_chronology,pass,0,Order date <= invoice date <= fulfillment date,
injected__returns_after_orders,pass,0,Return date must not precede original order date,
injected__return_original_order_linkage,pass,0,Return original_order_date agrees with the linked current order line,
injected__return_order_header_linkage,pass,0,Return order_id agrees with the header of its linked order line,
injected__payout_after_period,pass,0,Payout occurs after period close,
injected__post_payout_return_flag,pass,0,Post-payout return flag uses the effective policy payout date,
injected__finite_capacity,pass,True,Capacity arithmetic is finite,
injected__capacity_required_hours_reconciliation,pass,0.0,Required total hours equal all documented workload components,
injected__visit_chronology,pass,0,Actual visit end is not before start,
injected__visit_duration_reconciliation,pass,0.0,Visit duration agrees with timestamps,
injected__expense_deviation_reconciliation,pass,3.552713678800501e-15,Expense deviation agrees with claimed and expected amounts,
clean__incentive_policy_reconciliation,pass,0.0,Clean final payout reconciles to centralized policy within tolerance,
feature_store__no_ground_truth_leakage,pass,[],Controlled labels are excluded from feature allowlist,
feature_store__no_nan,pass,0,Model features contain no NaN,
feature_store__finite,pass,True,Model features contain no infinities,
feature_store__unique_grain,pass,0,Rep-period grain,
ground_truth__all_required_types,pass,[],All 22 controlled scenarios are present,
ground_truth__severity_coverage,pass,"['high', 'low', 'medium']","Low, medium, and high severities",
ground_truth__configured_severity_distribution,pass,"{'low': 0.012500000000000011, 'medium': 0.012500000000000011, 'high': 0.0}",Configured severity mix tolerance=0.0312,
ground_truth__nonempty_record_ids,pass,64,Every injection identifies affected records,
ground_truth__non_noop_payloads,pass,0,Every controlled truth row records a changed original/injected payload,
injected_diff__changed_rows_have_injected_lineage,pass,[],Every added or value-modified injection-stage fact has synthetic_injected lineage,
injected_diff__changed_rows_are_ground_truth_traceable,pass,[],Every added or value-modified injection-stage fact is identified in ground truth,
ground_truth__each_injection_has_changed_fact,pass,[],Every ground-truth injection references at least one added or value-modified fact,
ground_truth__configured_rep_period_prevalence,pass,0.0521978021978022,"Configured=0.050, tolerance=0.010",
ground_truth__configured_correlated_case_share,pass,0.21052631578947367,"Configured=0.200, tolerance=0.053",
orders__configured_injected_line_prevalence,pass,0.014997973246858533,"Configured=0.015, tolerance=0.005",
capacity__configured_overload_prevalence,pass,0.10989010989010989,"Configured=0.110, tolerance=0.015",
row_count__clean__rep_master,pass,13,clean generated layer,
row_count__clean__manager_master,pass,4,clean generated layer,
row_count__clean__team_master,pass,4,clean generated layer,
row_count__clean__customer_master,pass,751,clean generated layer,
row_count__clean__product_master,pass,240,clean generated layer,
row_count__clean__territory_master,pass,8,clean generated layer,
row_count__clean__rep_targets_quotas,pass,364,clean generated layer,
row_count__clean__incentive_policy_rules,pass,12,clean generated layer,
row_count__clean__orders,pass,167756,clean generated layer,
row_count__clean__discount_detail,pass,167756,clean generated layer,
row_count__clean__returns_cancellations,pass,6452,clean generated layer,
row_count__clean__field_visits,pass,30268,clean generated layer,
row_count__clean__crm_interactions,pass,70925,clean generated layer,
row_count__clean__travel_expenses,pass,21925,clean generated layer,
row_count__clean__incentive_calculations,pass,364,clean generated layer,
row_count__clean__capacity_calendar,pass,364,clean generated layer,
row_count__clean__capacity_customer_drilldown,pass,18627,clean generated layer,
row_count__clean__capacity_territory_allocation,pass,2022,clean generated layer,
row_count__clean__capacity_territory_summary,pass,176,clean generated layer,
row_count__injected__rep_master,pass,13,injected generated layer,
row_count__injected__manager_master,pass,4,injected generated layer,
row_count__injected__team_master,pass,4,injected generated layer,
row_count__injected__customer_master,pass,751,injected generated layer,
row_count__injected__product_master,pass,240,injected generated layer,
row_count__injected__territory_master,pass,8,injected generated layer,
row_count__injected__rep_targets_quotas,pass,364,injected generated layer,
row_count__injected__incentive_policy_rules,pass,12,injected generated layer,
row_count__injected__orders,pass,167756,injected generated layer,
row_count__injected__discount_detail,pass,167756,injected generated layer,
row_count__injected__returns_cancellations,pass,6595,injected generated layer,
row_count__injected__field_visits,pass,30306,injected generated layer,
row_count__injected__crm_interactions,pass,70925,injected generated layer,
row_count__injected__travel_expenses,pass,21945,injected generated layer,
row_count__injected__incentive_calculations,pass,364,injected generated layer,
row_count__injected__capacity_calendar,pass,364,injected generated layer,
row_count__injected__capacity_customer_drilldown,pass,18627,injected generated layer,
row_count__injected__capacity_territory_allocation,pass,2022,injected generated layer,
row_count__injected__capacity_territory_summary,pass,176,injected generated layer,
dashboard_kpi_summary.csv,pass,1,,True
dashboard_manager_review_queue.csv,pass,19,,True
dashboard_rep_period_summary.csv,pass,364,,True
dashboard_anomaly_evidence.csv,pass,364,,True
dashboard_feature_contributions.csv,pass,1092,,True
dashboard_peer_comparison.csv,pass,1456,,True
dashboard_capacity_summary.csv,pass,364,,True
dashboard_capacity_customer_drilldown.csv,pass,18627,,True
dashboard_model_metrics.csv,pass,38,,True
dashboard_anomaly_type_metrics.csv,pass,48,,True
dashboard_data_quality.csv,pass,248,,True
dashboard_run_manifest.csv,pass,1,,True
