output_file,output_format,output_rows,output_bytes,output_sha256
data/generated/injected/capacity_territory_allocation.parquet,parquet,2022.0,332316,90df0df363d58ce01156cf5bc1734644967c5069a57940372d963817fefabe33
data/generated/injected/capacity_territory_summary.parquet,parquet,176.0,102770,1c12ac59cfdb9c14f34c025f609e0920ac36a1c6465855fbcbc780bb90be9019
data/generated/injected/feature_store_rep_period.parquet,parquet,364.0,568684,9086e1eeca99fc0ce2225ef0465fcb57e9c79ed8fa24af5ec19ed99b1a3f97a7
data/generated/benchmark/anomaly_ground_truth.parquet,parquet,64.0,113002,49268c5bf060a2786120ff8e521c3318715390243d9fb3469d101533c0c69e50
data/samples/commercial_review/rep_master_sample.csv,csv,13.0,3350,7347ca850352a034841b4d184c25c92280fa79d1adf2db40925dee5130557f26
data/samples/commercial_review/manager_master_sample.csv,csv,4.0,543,66eca7e7b4034fc350b2970f10c1a0b578143dd19584bea9b075760a0bf2251d
data/samples/commercial_review/team_master_sample.csv,csv,4.0,473,42707bc7a73d0c9d81d0763922bc6885bd737ada225cec3aa20c722a0855b89c
data/samples/commercial_review/customer_master_sample.csv,csv,25.0,10659,5b50cf3656350584d4085519a421b9cf273c48930e2991f681730daf0fa7cd7f
data/samples/commercial_review/product_master_sample.csv,csv,25.0,6487,36df00551d8a6be3f130fdfc94365fe96884e01cc5ac70fa298e2b634f545451
data/samples/commercial_review/territory_master_sample.csv,csv,8.0,2793,8b8bfcd72791d4de2d152eeb3c976847c50887a526e0a0ba2ab968f250a83813
data/samples/commercial_review/rep_targets_quotas_sample.csv,csv,25.0,4321,363fabd9577c67dd4b9a6ba995c698bf8223961df347dc24c4cfcb1e6a41fc04
data/samples/commercial_review/incentive_policy_rules_sample.csv,csv,12.0,4956,4c5fa4fa86fa001648ab1a3a1839df6bc496ad33bf98f9f9635264eeb94ecd53
data/samples/commercial_review/orders_sample.csv,csv,25.0,7851,933b61410c0b072b55ba2b0cbe12709f0350adc19a5336c68667172827efa627
data/samples/commercial_review/discount_detail_sample.csv,csv,25.0,4449,de88a1728f8169ae6acff2b063569218eff0ed0bc8e9fd76e9e472d9edb0164d
data/samples/commercial_review/returns_cancellations_sample.csv,csv,25.0,6367,3662b7c018c3157555b29ee968bfe0ebadaba574a71ca786bfa119f5b0097fda
data/samples/commercial_review/field_visits_sample.csv,csv,25.0,8212,ce7e5a0029807dc70f7cbadc3298d650275400423ededfe439848916f226b929
data/samples/commercial_review/crm_interactions_sample.csv,csv,25.0,5110,cda820f88fe0cf2cdff0857b053ad2b74b8a183c868af54005b22ecc236b85b4
data/samples/commercial_review/travel_expenses_sample.csv,csv,25.0,4981,d5e238c23a7bed57b683aab7b975b142bfa2bc240880a5c5f65a81c91c913c8f
data/samples/commercial_review/incentive_calculations_sample.csv,csv,25.0,7606,7fff80ccfbde7d20baba3757952df9ca515b95d0abe557e569e8a97ca741cdad
data/samples/commercial_review/capacity_calendar_sample.csv,csv,25.0,43634,9446dd36d9a591c230b07f55b8648e387c2078d69a659cbbf1ef1027e5b0b168
data/samples/commercial_review/capacity_customer_drilldown_sample.csv,csv,25.0,12149,79ed1e79d21d7e9e6b7b9481929399b38595a46cb8cec75f2ccbbb5ecd8df15c
data/samples/commercial_review/capacity_territory_allocation_sample.csv,csv,25.0,27904,f0747477e5b59b1b0997b6792e5cdfb9a7caceefd32cea7e73a903e83540fac5
data/samples/commercial_review/capacity_territory_summary_sample.csv,csv,25.0,40638,8d532e3c898a2fa0388a559adb7d7ecaf64e468c8600811e9369578493dda4bf
data/samples/commercial_review/anomaly_ground_truth_sample.csv,csv,25.0,12212,78ec1688151710db99f5392ca09b9a432e8913524b7f6c319fee0932adf16073
data/samples/commercial_review/feature_store_rep_period_sample.csv,csv,25.0,97941,32f9323db1f4e788b07d209901434108f5ca123b79e3ad174193de3cef5a42e1
data/dashboard/dashboard_kpi_summary.csv,csv,1.0,557,754b99300041f67c2393c8a7020f81e9265a78ece9909fec9f77b3b3e2073c45
data/dashboard/dashboard_manager_review_queue.csv,csv,19.0,16696,5431f5a367c0df70d088dbda7565ccb4e1a17f4e3641d64e9f1f0ae067ce3a94
data/dashboard/dashboard_rep_period_summary.csv,csv,364.0,272902,5ba0e7c74210601c6d949b1d5e0fea305eb1594e5e1dd87781d339184bcfcb78
data/dashboard/dashboard_anomaly_evidence.csv,csv,364.0,182617,f07238a187189f3b0e85d50ccba277cbcdc33849787896c4a2453bafa2bd6bc9
data/dashboard/dashboard_feature_contributions.csv,csv,1092.0,580739,e30186912952f4b8d218ca372a751ccbd4192b972acda8d1d4d2b4653635a9c0
data/dashboard/dashboard_peer_comparison.csv,csv,1456.0,285077,4dc2b0bdceec4ad41dc66cb63fcdb6b2c2996ea80264f1dc46e8405762f91cb5
data/dashboard/dashboard_capacity_summary.csv,csv,364.0,615552,055cdc33896eec555d218f44d14cff14fa754601f02ee5a0611b05b41c28d409
data/dashboard/dashboard_capacity_customer_drilldown.csv,csv,18627.0,8364310,56e315e3218a0ee92524deca765cee2c35267a98e60e6cd311a20693ba3322e9
data/dashboard/dashboard_model_metrics.csv,csv,38.0,7794,8d4465ca613297e9e2e568b01a0f1e0058bcdb21713134afaae037d79e2cec65
data/dashboard/dashboard_anomaly_type_metrics.csv,csv,48.0,6854,59d1170e604b53ae12f7f8b9fd14f344ce6b78d55217764b082ad2bbc03eeb5e
data/dashboard/dashboard_data_quality.csv,csv,248.0,17832,5ce825e20266617e8fe3b1f370bf046d0c98dedd685834b79c193e06e6793de0
data/dashboard/dashboard_run_manifest.csv,csv,1.0,6655,2697cc975e8465607267678e06f781b03da4340c75977edaaf098dd2b396db65
data/dashboard/dashboard_capacity_territory_allocation.csv,csv,2022.0,2121221,455df1513ccc5f7c2e22053a6941813bf32b6e807bb7275ec9dbcbf79016fc3a
data/dashboard/dashboard_capacity_territory_summary.csv,csv,176.0,277818,57ff5649e54db31ef77bb64ab37845847b6912f26fc3db3e07203f7818700be7
data/dashboard/dashboard_model_curve.csv,csv,120.0,9924,12ce8a462dec4e87b0478f72827ac5134d0f747d159d7168d3b77a2c2065fd0b
data/dashboard/dashboard_pca_variance.csv,csv,1.0,107,542965b2c6016093d700c72f1fd864a349201b88f139a4074c8174448b8603fd
data/dashboard/dashboard_confusion_matrix.csv,csv,4.0,110,59f7d4639f1095771a068bcbd92af68e413f1b4a6400c512b2f57a5d709c3871
data/dashboard/dashboard_score_distribution.csv,csv,220.0,15895,cfe4ca7e83f4c3afb5b71c126864e6adc1103950b19d8f0aaae8dd4759f6751c
data/dashboard/dashboard_period_stability.csv,csv,56.0,8931,91a9ff4658ec0efb22ea757da228ed51be4217896f403b9dafe898920ed91393
artifacts/commercial_review/model/pca_clean_scores.csv,csv,364.0,1606903,26f76ded6c47555d641b6f26bfe38fc56dabbd8e900a1ab9a53652b093516b07
artifacts/commercial_review/model/pca_false_positive_review.csv,csv,1.0,425,7652fa13f3fcd19b13f2cd2d68d3ee60a6138c51ad53b0897e830e4d6a7f4310
artifacts/commercial_review/model/pca_feature_contributions.csv,csv,2184.0,1155130,14c21644c309addf23597497ae91c19686467f66273894047fd580f459061897
artifacts/commercial_review/model/pca_group_metrics.csv,csv,52.0,7613,24184bb9093ae90367fc97386e4ab93a0bdce7c1ccfa71f524556b86a7d2b240
artifacts/commercial_review/model/pca_injected_scores.csv,csv,364.0,1616155,e3beb2c9f85642ec4743ee5ff35e871d0cca2f678ad758707544e64cd8451c93
artifacts/commercial_review/model/pca_lift_curve.csv,csv,52.0,4653,36643a988cfcf72ab30224741739ae95cefb5ef245479a35a289eaed9946aa88
artifacts/commercial_review/model/pca_metadata.json,json,,8508,0297a1e94ba0ed46aba0ee8f318c38774dacce5be84a1b048057464831fdbbd9
artifacts/commercial_review/model/pca_metrics_summary.csv,csv,1.0,955,b82a54ffaeaba4b3711ff612bdeb6654ee1135182e5c7880cefd3a72d4d333ed
artifacts/commercial_review/model/pca_period_stability.csv,csv,56.0,8874,6ea1618de6f3a0edd27a815b1226245894fb4bd853efd9747f5d5b5b4b1c9b47
artifacts/commercial_review/model/pca_pr_curve.csv,csv,53.0,2442,491807294899305b0551160b38ad8875678091436b87a6c88d8199212438490e
artifacts/commercial_review/model/pca_roc_curve.csv,csv,15.0,793,9ff619ab0f0ce2bb041c153db72752c5d53a9413a38299e3608813aedab256b1
artifacts/commercial_review/model/pca_score_distributions.csv,csv,220.0,15674,96381c9c874d9283c537ac0fc47be85b2e3fdaae460f7acdf0e4e731a6e6b54e
artifacts/commercial_review/model/pca_top_k_metrics.csv,csv,3.0,360,2c7afd2a168d137e16695a993fd7a16e32f1ce29a955badab7490a3502e3c008
reports/figures/clean_vs_injected_score_distribution.png,png,,91085,0be5ef9a692a5117e12c6c666bd3b24ccb9cb77b05e79a860aa9598a7608d650
reports/figures/roc_precision_recall_curves.png,png,,54744,dc837ec64968f7fdb4f2fe6cb4d252f4a6604321b02955494252599e05bf0c79
reports/figures/pca_cumulative_explained_variance.png,png,,29021,e8776c99309e5f90268b8ef020b72654a2310f046b87d8a6043a6097476a0abc
reports/figures/capacity_utilization_review.png,png,,106406,549d25364f2ab288243ed749f8787724fa6c1911c5a4a528937b85b9879a8d15
artifacts/commercial_review/source_profile.json,json,,1812,6aa4e6fb020539f16d8aa3c4b3158c3c7d3181ffa083f39263e747933929681b
reports/final_benchmark_report.md,md,,28576,6df3485fead0f8029273164734ea00ab4bc13f5b749d0de6ccb9061810b8f467
docs/commercial_review_data_dictionary.md,md,,151127,a6e756bb8d4e1bf156a86fef4ab96e9889ffc16dfc9746a513d86a16918ebfde
